9237531 12453 26181 
9320536 12041.5 25568 
9353338 11178 26188.5 
9354677 11576.5 26635 
9369071 11183 26467 
9362389 11083.5 26541 
9370229 11008.5 26115.5 
9357757 11212.5 25520 
9365608 10884.5 25235 
9360315 12368.5 27473.5 
9363891 11624 27503 
9352622 11885.5 28231.5 
9385250 12075 26669 
9358018 12174.5 26812.5 
9369615 12042.5 26782.5 
9363651 12140 26803 
9366510 12001 26484 
9383861 11728.5 26627.5 
9797569 11705 26648.5 
10114698 11486.5 26626 
10750257 11115.5 26761.5 
11162641 11057.5 27133 
11083185 10580 27188 
10264690 9966.5 30046 
10293073 10561.5 30138 
10273357 11013.5 30102 
10305778 10786.5 29764 
10294142 10893.5 28007 
10313401 10682 27486.5 
10301854 11068 27598.5 
10314495 10639 26929.5 
10303628 11897.5 24548 
10312036 11600.5 23988 
10301638 11537.5 24387 
10313863 11433.5 24256.5 
10306912 11377 24305 
10338265 11400 23987 
10293625 10748 24147.5 
10310238 10911 24057 
10294891 11158.5 24240 
10310978 10882 24316 
10304830 11103.5 24566.5 
10327621 10749 24332 
10301218 11069 26086 
10302746 10896.5 27093 
10296922 11006 27192 
10298610 10576 26927 
10289984 10715 27059 
10192462 10661.5 26687 
9665973 10989 26872.5 
9240793 10708.5 26327.5 
8772437 10984.5 26628.5 
8288410 11087.5 26334.5 
7711082 11562 26612 
7013311 11285.5 26309.5 
6177064 11505.5 26775.5 
5429517 10708 26623 
6181470 10541.5 26578.5 
6262974 10936 26605.5 
6322115 11102 27001 
6483866 11069 26970.5 
6483265 10939 27225 
6581045 11938 26560 
6580926 12426.5 22702 
6516384 12260.5 22286 
6427798 12372.5 22033 
6370411 11973 21194.5 
6302911 11706.5 20823.5 
6309771 11352.5 20171.5 
6366538 11367.5 20004.5 
6453195 11449 19800.5 
6513577 11549 19938 
6680318 11683.5 19864.5 
6585412 11814 19667 
6400730 11608 19079.5 
6149672 11409.5 18661.5 
5965741 11012 17886 
5749401 10855.5 17455.5 
5559867 10591 17147.5 
5387708 10941.5 16961 
5249523 10634.5 16830 
5153264 11020 17153.5 
5038949 11381 16882.5 
4917038 11424 17209 
4828852 11523.5 17409 
4716689 11784.5 17743 
4707597 14658.5 18116 
7164560 14717.5 18507 
7600048 14882 18561 
7676446 14385.5 17988 
7828302 0 4987.5 
7911489 6253.5 20037 
8023150 14534 22362.5 
8022855 14963 22309 
7942571 14594 21853 
7857454 14554.5 21846.5 
7760305 14748.5 21520.5 
7627761 14674 21436 
7663108 14560 21049 
7766705 14334 21185.5 
7947069 14363 21375.5 
8039905 14792 21701.5 
8173729 14975.5 21942.5 
8115463 15371.5 22580.5 
7744656 15495 22940.5 
7380094 15623.5 23206 
